"device_id","timestamp","flame","gas","smoke","status","temperature"
"robot01","1773292967","1","500","350","ALARM","70"
"robot01","1773294509","1","250","180","ALARM","45"
"robot01","1773294983","0","250","180","NORMAL","45"
"robot01","1773295055","0","250","180","WARNING","45"
"robot01","1773295192","0","200","150","WARNING","50"
"robot01","1773295207","1","200","150","ALARM","45"
"robot01","1773295230","0","100","150","WARNING","45"
"robot01","1773295244","0","100","70","WARNING","30"
"robot01","1773295336","0","100","70","WARNING","25"
"robot01","1773302393","0","20","100","WARNING","25"
"robot01","1773302841","0","20","100","NORMAL","25"
"robot01","1773302881","0","270","200","WARNING","50"
"robot01","1773302890","0","270","200","WARNING","50"
"robot01","1773302903","0","290","220","WARNING","55"
"robot01","1773302925","0","500","350","ALARM","70"
"robot01","1773302936","0","400","300","ALARM","70"
"robot01","1773302956","0","400","400","ALARM","40"
"robot01","1773302987","0","260","100","WARNING","40"
"robot01","1773302999","0","200","200","WARNING","40"
"robot01","1773303021","0","120","80","NORMAL","35"
"robot01","1773303208","1","120","80","ALARM","35"
"robot01","1773303481","1","120","350","ALARM","35"
"robot01","1773303489","1","120","350","ALARM","100"
"robot01","1773303501","0","120","80","NORMAL","35"
"robot01","1773303627","0","70","80","NORMAL","35"
"robot01","1773303633","0","500","80","ALARM","35"
"robot01","1773303640","0","350","80","WARNING","35"
"robot01","1773303647","0","180","80","NORMAL","35"
"robot01","1773305260","0","180","80","NORMAL","35"
"robot01","1773375352","1","180","300","ALARM","35"
"robot01","1773375401","1","400","300","ALARM","80"
"robot01","1773649523","0","100","140","NORMAL","0"
"robot01","1773749200","0","100","180","NORMAL","20"
"robot01","1773749209","0","100","180","NORMAL","20"
"robot01","1773749211","0","100","180","NORMAL","20"
"robot01","1773749213","0","100","180","NORMAL","20"
